#run_name            mass#9900012         mass#9900035         mass#9900036         mass#9900037         cross                error                
run_134              2.600000e+01         1.000000e+03         1.000000e+03         1.000000e+03         3.468106e-14         2.416195e-17         
run_135              2.600000e+01         1.000000e+04         1.000000e+04         1.000000e+04         3.463200e-18         2.025326e-21         
run_136              2.700000e+01         1.000000e+02         1.000000e+02         1.000000e+02         3.120438e-10         2.328818e-13         
run_137              2.700000e+01         2.500000e+02         2.500000e+02         2.500000e+02         6.339119e-12         4.494257e-15         
run_138              2.700000e+01         5.000000e+02         5.000000e+02         5.000000e+02         3.881104e-13         2.397674e-16         
run_139              2.700000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.410504e-14         1.682945e-17         
run_140              2.700000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.407400e-18         1.915740e-21         
run_141              2.800000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.105050e-10         1.588076e-13         
run_142              2.800000e+01         2.500000e+02         2.500000e+02         2.500000e+02         4.306996e-12         2.499446e-15         
run_143              2.800000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.637668e-13         1.720040e-16         
run_144              2.800000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.640023e-14         1.111551e-17         
run_145              2.800000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.636840e-18         1.245702e-21         
run_146              2.900000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.386472e-10         9.799554e-14         
run_147              2.900000e+01         2.500000e+02         2.500000e+02         2.500000e+02         2.857395e-12         1.926345e-15         
run_148              2.900000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.751594e-13         1.189741e-16         
run_149              2.900000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.088832e-14         7.719049e-18         
run_150              2.900000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.086300e-18         7.566342e-22         
run_151              3.000000e+01         1.000000e+02         1.000000e+02         1.000000e+02         8.872710e-11         6.312402e-14         
run_152              3.000000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.839033e-12         1.165667e-15         
run_153              3.000000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.128427e-13         7.707384e-17         
run_154              3.000000e+01         1.000000e+03         1.000000e+03         1.000000e+03         7.016611e-15         4.571690e-18         
run_155              3.000000e+01         1.000000e+04         1.000000e+04         1.000000e+04         7.004600e-19         4.783735e-22         
run_156              3.100000e+01         1.000000e+02         1.000000e+02         1.000000e+02         5.508970e-11         4.106049e-14         
run_157              3.100000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.149944e-12         8.293182e-16         
run_158              3.100000e+01         5.000000e+02         5.000000e+02         5.000000e+02         7.048567e-14         5.083445e-17         
run_159              3.100000e+01         1.000000e+03         1.000000e+03         1.000000e+03         4.386207e-15         2.985415e-18         
run_160              3.100000e+01         1.000000e+04         1.000000e+04         1.000000e+04         4.383500e-19         3.003738e-22         
run_161              3.200000e+01         1.000000e+02         1.000000e+02         1.000000e+02         3.290412e-11         1.962824e-14         
run_162              3.200000e+01         2.500000e+02         2.500000e+02         2.500000e+02         6.919410e-13         5.005388e-16         
run_163              3.200000e+01         5.000000e+02         5.000000e+02         5.000000e+02         4.249796e-14         2.793911e-17         
run_164              3.200000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.645404e-15         1.793858e-18         
run_165              3.200000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.641000e-19         1.707711e-22         
